pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.7,2,15,1,7,1.1,6.816005091
0.7,2,15,1,5,1.1,6.815949798
0.7,2,21,1,7,1.1,6.804854307
0.7,2,21,1,5,1.1,6.804787159
0.7,1,9,1,7,1.9,6.763965879
0.7,1,9,1,5,1.9,6.760779152
0.7,2,9,1,7,1.1,6.757056593
0.7,2,9,1,5,1.1,6.757011461
0.7,1,15,5,7,1.1,6.717965482
0.7,1,15,5,5,1.1,6.717918195
0.5,1,15,1,7,1.1,6.660490541
0.5,1,15,1,5,1.1,6.66042817
0.5,1,9,1,7,1.1,6.634482026
0.5,1,9,1,5,1.1,6.634439619
